state,commercial_mwh,industrial_mwh,total_mwh,year,egrid_subregion,emission_factor,commercial_scope2_mt,industrial_scope2_mt,total_scope2_mt
OH,82894861.0,92003329.0,251438719.0,2019,RFCW,0.4562709219729477,37822514.655289344,41978443.74741044,114724176.13782692
OK,20085991.0,20903983.0,64795946.0,2019,SPSO,0.442367845705836,8885396.56753681,9247249.926381418,28663643.042491682
OR,17406384.0,16357045.0,53076552.0,2019,NWPP,0.27481924322558987,4783609.278174016,4495230.728306918,14586457.853663668
PA,70419885.0,97985507.0,240594185.0,2019,RFCE,0.2995123876223567,21091627.892441783,29347873.153957147,72060938.797405
RI,6084700.0,1247816.0,10676837.0,2019,NEWE,0.24515789569177457,1491712.2479157408,305911.94477052736,2617510.891564079
SC,22168328.0,26877335.0,80205620.0,2019,SRVC,0.2838920086001216,6293411.163226317,7630260.618968349,22769734.562818084
SD,4888034.0,2923865.0,12868931.0,2019,MROW,0.42792771543395236,2091725.222583484,1251202.8696872932,5506972.242907168
TN,36151394.0,21104523.0,99829100.0,2019,SRVC,0.2838920086001216,10263091.856354384,5991405.425017464,28340683.715742398
TX,142001524.0,131673922.0,429343404.0,2019,ERCT,0.351216082590197,49873218.98111784,46245999.064127155,150792308.4388203
UT,11860449.0,9490843.0,31142565.0,2019,NWPP,0.27481924322558987,3259479.618495704,2608266.290832887,8558576.145403743
VA,54484797.0,18700214.0,120040968.0,2019,SRVC,0.2838920086001216,15467798.458499879,5308841.3137121145,34078671.51982292
VT,1934464.0,1411655.0,5427664.0,2019,NEWE,0.24515789569177457,474249.123531493,346078.36924277205,1330634.6847619999
WA,29505916.0,27257616.0,93374817.0,2019,NWPP,0.27481924322558987,8108793.505797824,7490917.40125373,25661196.544267945
WI,23546114.0,23614832.0,69157540.0,2019,MROE,0.6752583211619236,15899709.409527266,15946111.810840871,46699204.35608858
WV,7567130.0,14526664.0,33247013.0,2019,RFCW,0.4562709219729477,3452661.381789152,6628094.376471229,15169645.274356578
WY,3575477.0,10338641.0,16763496.0,2019,RMPA,0.5133460641743248,1835457.0454958223,5307300.666261306,8605474.693402037
AK,2524116.0,1304415.0,5917577.0,2020,AKGD,0.4798291769103065,1211144.5027061352,625896.3757994574,2839426.101213361
