soc_code,occupation,ai_exposure,ability_exposure,activity_exposure,gics_sector
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",99.63123294084339,0.7785527788138754,0.7202625820568926,Industrials
43-3041.00,Gambling Cage Workers,76.65297105106545,0.7617776959882224,0.7027044025157232,Industrials
43-3051.00,Payroll and Timekeeping Clerks,98.0716529839265,0.7795428571428572,0.7169422374919477,Industrials
43-3061.00,Procurement Clerks,89.67520314612017,0.7723177570093457,0.7116216752679635,Industrials
43-3071.00,Tellers,70.75674758201316,0.7521358543417366,0.7035363268452496,Industrials
43-4011.00,Brokerage Clerks,96.68678617497433,0.7727373068432671,0.7216785714285714,Industrials
43-4021.00,Correspondence Clerks,95.33762671314935,0.7778180039138942,0.7145820105820105,Industrials
43-4031.00,"Court, Municipal, and License Clerks",89.8152354125677,0.7680537040563703,0.7160949592135537,Industrials
43-4041.00,"Credit Authorizers, Checkers, and Clerks",94.8998679155301,0.7794035507680032,0.7123423808506091,Industrials
43-4051.00,Customer Service Representatives,75.24391403786821,0.7626976744186046,0.6996790636209175,Industrials
43-4061.00,"Eligibility Interviewers, Government Programs",88.21373890910029,0.7717089427883724,0.7100468241042345,Industrials
43-4071.00,File Clerks,77.04705342196432,0.7511418809566623,0.7139290407358739,Industrials
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",73.83296094335019,0.7543832725877613,0.7058852719333069,Industrials
43-4111.00,"Interviewers, Except Eligibility and Loan",78.45985155411338,0.766256777691712,0.7009250943057301,Industrials
43-4121.00,"Library Assistants, Clerical",74.7991996548869,0.7480542805827181,0.7136579818031432,Industrials
43-4131.00,Loan Interviewers and Clerks,93.85683264813972,0.778344298245614,0.7118431689571544,Industrials
43-4141.00,New Accounts Clerks,83.4517056262957,0.773848810437452,0.7007917038358609,Industrials
43-4151.00,Order Clerks,90.86973925126095,0.7706129463433262,0.7151113172541745,Industrials
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",92.00445295086517,0.7761958070425402,0.7112239034667687,Industrials
43-4171.00,Receptionists and Information Clerks,80.91874382250502,0.7651563753007219,0.7056994818652849,Industrials
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,65.19128196714435,0.744841198636282,0.7025152712899748,Industrials
43-5011.00,Cargo and Freight Agents,63.10180307108705,0.7513994668697639,0.6928349815784371,Industrials
43-5011.01,Freight Forwarders,90.38090267061602,0.7791810841983853,0.7058127780024264,Industrials
43-5021.00,Couriers and Messengers,42.39543760099889,0.7141576424640511,0.6991381265593106,Industrials
43-5031.00,Public Safety Telecommunicators,66.94527688148047,0.7522723345429412,0.6977048892015476,Industrials
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",76.24022801974724,0.7680255495021605,0.6958398437499999,Industrials
43-5041.00,"Meter Readers, Utilities",44.80266010049862,0.7139269406392692,0.7029656105100464,Industrials
43-5051.00,Postal Service Clerks,60.76845301071492,0.7437376103802485,0.697010433386838,Industrials
43-5052.00,Postal Service Mail Carriers,27.48763608562242,0.7048250786163522,0.6861960090932053,Industrials
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",47.251326951811315,0.7192512352717598,0.7013000226090887,Industrials
43-5061.00,"Production, Planning, and Expediting Clerks",75.54700419196135,0.7586872940314903,0.7041423100181416,Industrials
43-5071.00,"Shipping, Receiving, and Inventory Clerks",36.4439404870277,0.716524190614769,0.6878790732718025,Industrials
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",54.572759196027654,0.7353139411138704,0.6961767279090114,Industrials
43-6011.00,Executive Secretaries and Executive Administrative Assistants,87.76678803863753,0.7695981735159817,0.7114897760467381,Industrials
43-6012.00,Legal Secretaries and Administrative Assistants,88.62445636542495,0.7686826112526954,0.7136868343530477,Industrials
43-6013.00,Medical Secretaries and Administrative Assistants,85.29411386391985,0.7695826645264847,0.7078107074569789,Industrials
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",92.1341636086148,0.7720989096573208,0.7155146096816398,Industrials
43-9021.00,Data Entry Keyers,80.48085274870533,0.758440256615878,0.7117613200306984,Industrials
43-9022.00,Word Processors and Typists,89.95163419730629,0.7671099476439791,0.7172425176056337,Industrials
43-9031.00,Desktop Publishers,59.35425569184639,0.7436894044321328,0.6949455984174085,Industrials
43-9041.00,Insurance Claims and Policy Processing Clerks,89.99231108475556,0.7677803602556653,0.7166328828828828,Industrials
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",44.848441361843136,0.7234153263954589,0.6935456294079931,Industrials
43-9061.00,"Office Clerks, General",88.91196351604763,0.7659388226240861,0.7168602054488611,Industrials
43-9071.00,"Office Machine Operators, Except Computer",59.8246084460613,0.7381275953189882,0.7012101910828027,Industrials
43-9081.00,Proofreaders and Copy Markers,100.0,0.7698776113104032,0.729488747553816,Industrials
43-9111.00,Statistical Assistants,94.8002176659608,0.7845346636848444,0.7070623742454728,Industrials
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",36.195966275020695,0.7216967213114753,0.682336028751123,Consumer Staples
45-2011.00,Agricultural Inspectors,55.986900333844815,0.7372800965850294,0.6963235294117648,Consumer Staples
45-2021.00,Animal Breeders,51.47183324242675,0.7185551036219253,0.7083022774327122,Consumer Staples
45-2041.00,"Graders and Sorters, Agricultural Products",37.545052055543756,0.7165264832916572,0.6895220204550198,Consumer Staples
45-2091.00,Agricultural Equipment Operators,11.893390755223825,0.6941708636448424,0.6735498839907192,Consumer Staples
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",20.152472285458398,0.695475618131868,0.6845855412566236,Consumer Staples
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",27.60102222225152,0.7041320166320167,0.6870584884162552,Consumer Staples
45-3031.00,Fishing and Hunting Workers,19.510355176034068,0.6915022624434389,0.6875994694960212,Consumer Staples
45-4011.00,Forest and Conservation Workers,31.151934648158537,0.7096463022508038,0.6868498437787172,Consumer Staples
45-4021.00,Fallers,11.77327347645524,0.6882232508456471,0.679318022029529,Consumer Staples
45-4022.00,Logging Equipment Operators,5.3132002125021085,0.6895957297864892,0.668293142426526,Consumer Staples
45-4023.00,Log Graders and Scalers,46.49091852663141,0.7254458874458873,0.6939691965114122,Consumer Staples
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,38.898349925143286,0.7314688796680497,0.6766016713091924,Industrials
47-1011.03,Solar Energy Installation Managers,42.94403767695201,0.7318058221369164,0.6823096446700507,Industrials
47-2011.00,Boilermakers,23.815721807425174,0.7052282292003885,0.6803064210707523,Industrials
47-2021.00,Brickmasons and Blockmasons,14.646369350849229,0.6989527896995705,0.6728813559322034,Industrials
47-2022.00,Stonemasons,8.149482521926513,0.7005455165359699,0.6615812229771463,Industrials
47-2031.00,Carpenters,29.18135738164495,0.7112071751777634,0.6823446077563309,Industrials
47-2041.00,Carpet Installers,26.67532626288494,0.7102031643293782,0.6796042003231018,Industrials
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",26.13347028707781,0.7031462585034013,0.6858514851485149,Industrials
47-2043.00,Floor Sanders and Finishers,15.66023942278442,0.6987777570442248,0.6745712754555199,Industrials
47-2044.00,Tile and Stone Setters,28.446190631686797,0.7135204533380557,0.6789328708426852,Industrials
47-2051.00,Cement Masons and Concrete Finishers,25.073893362449322,0.7022422726460605,0.6851722906623815,Industrials
47-2053.00,Terrazzo Workers and Finishers,15.855211941205779,0.6971943127962087,0.6764460403726708,Industrials
47-2061.00,Construction Laborers,18.349136424867712,0.6977724100912507,0.6795942720763724,Industrials
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",15.184219760192324,0.6971255673222392,0.6755122143420015,Industrials
47-2072.00,Pile Driver Operators,22.696505981783528,0.6986693401385343,0.685193019566367,Industrials
47-2073.00,Operating Engineers and Other Construction Equipment Operators,16.53678065560147,0.6970167917113255,0.6776419360241166,Industrials
47-2081.00,Drywall and Ceiling Tile Installers,22.644657530866404,0.7040814495873698,0.6797034400948991,Industrials
47-2082.00,Tapers,16.537422484265505,0.7061243331965531,0.6685353535353538,Industrials
47-2111.00,Electricians,31.938644555107143,0.7212374323279194,0.6764341863187824,Industrials
47-2121.00,Glaziers,21.37752747153354,0.7009321266968327,0.6809594644849386,Industrials
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",13.442491190792992,0.7004351046102574,0.6696002511511092,Industrials
47-2132.00,"Insulation Workers, Mechanical",22.598735285426745,0.708909399133547,0.674806875241406,Industrials
47-2141.00,"Painters, Construction and Maintenance",16.90232070340145,0.7023365384615385,0.6728683655872773,Industrials
47-2142.00,Paperhangers,21.599550881276244,0.7094798491165379,0.6727434811678181,Industrials
47-2151.00,Pipelayers,17.315115463658042,0.7014516980468064,0.6743699885452464,Industrials
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",30.314660244137176,0.7118076792388719,0.6834374425868087,Industrials
47-2152.04,Solar Thermal Installers and Technicians,32.95279166682237,0.717872268338133,0.681314651119052,Industrials
47-2161.00,Plasterers and Stucco Masons,16.977712701514168,0.6978151411616614,0.6775024108003858,Industrials
47-2171.00,Reinforcing Iron and Rebar Workers,12.38651224011455,0.6904679847632867,0.677989566613162,Industrials
47-2181.00,Roofers,14.016569361134742,0.7010070767555796,0.6698860452082943,Industrials
47-2211.00,Sheet Metal Workers,31.319920050680462,0.7141814121285004,0.682565731427563,Industrials
47-2221.00,Structural Iron and Steel Workers,6.793190115665933,0.6902310924369747,0.6698691255205234,Industrials
47-2231.00,Solar Photovoltaic Installers,25.71841564861736,0.7084283459042274,0.6799492385786803,Industrials
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",16.593375984803707,0.6978818389057752,0.6768614514608859,Industrials
47-3012.00,Helpers--Carpenters,16.7860595944864,0.6982054568760301,0.6768257341576507,Industrials
47-3013.00,Helpers--Electricians,28.369679412093003,0.7067499095186393,0.6855890944498539,Industrials
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",12.720330837536281,0.6880663430420713,0.6808899876390605,Industrials
