ticker,year,total_emissions,num_facilities,primary_state
GOOGL,2018,77052.364,1,CA
GOOGL,2019,71147.636,1,CA
GOOGL,2020,80345.552,1,CA
GOOGL,2021,74613.772,1,CA
GOOGL,2022,47997.772,1,CA
GOOGL,2023,56418.04,1,CA
GS,2010,52875.612,1,SC
GS,2011,46650.524,1,SC
GS,2012,51781.204,1,SC
GS,2013,50418.76,1,SC
GS,2014,58924.728,1,SC
GS,2015,52337.252,1,SC
GS,2016,56091.288,1,SC
GS,2017,57140.384,1,SC
GS,2018,55489.492,1,SC
GS,2019,55389.392,1,SC
GS,2020,47816.12,1,SC
GS,2021,44415.832,1,SC
GS,2022,52871.8,1,SC
GS,2023,52140.304,1,SC
HAL,2010,79211.61,2,SD
HAL,2011,88479.44399999999,2,SD
HAL,2012,77902.63,2,SD
HAL,2013,69981.696,2,SD
HAL,2014,75312.274,2,SD
HAL,2015,63886.644,2,SD
HAL,2016,71599.6,2,SD
HAL,2017,66728.082,2,SD
HAL,2018,75304.032,2,SD
HAL,2019,79441.89600000001,2,SD
HAL,2020,69794.658,2,SD
HAL,2021,63723.246,2,SD
HAL,2022,49752.126000000004,2,SD
HAL,2023,53414.518,2,SD
HII,2010,78581.89,1,VA
HII,2011,83109.55,1,VA
HII,2012,125807.292,1,VA
HII,2013,96635.332,1,VA
HII,2014,78425.344,1,VA
HII,2015,81128.738,1,VA
HII,2016,94228.806,1,VA
HII,2017,55416.744,1,VA
HII,2018,57499.79,1,VA
HII,2019,55379.852,1,VA
HII,2020,58398.06,1,VA
HII,2021,83062.38,1,VA
HII,2022,71823.93,1,VA
HII,2023,49706.726,1,VA
HON,2010,4115952.212,5,LA
HON,2011,3951949.845,7,LA
HON,2012,3302227.3115,7,LA
HON,2013,1160352.3728042,7,LA
HON,2014,1068180.8140999998,7,LA
HON,2015,990892.4294171,7,LA
HON,2016,670274.3458,7,LA
HON,2017,741415.402397,7,LA
HON,2018,867026.5419,7,LA
HON,2019,757095.4513,8,LA
HON,2020,723723.2355000001,8,LA
HON,2021,713795.3591969999,8,LA
HON,2022,582799.3261000001,8,LA
HON,2023,381602.9292,8,LA
HRL,2010,43497.15,1,MN
HRL,2011,46090.5,1,MN
HRL,2012,50597.384,1,MN
HRL,2013,53930.224,1,MN
HRL,2014,54946.27,1,MN
HRL,2015,54102.084,1,MN
HRL,2016,53933.296,1,MN
HRL,2017,50996.008,1,MN
HRL,2018,50575.06,1,MN
HRL,2019,61277.02,1,MN
HRL,2020,58895.028,1,MN
HRL,2021,65120.704,1,MN
HRL,2022,60619.372,1,MN
HRL,2023,58585.68,1,MN
HWM,2010,66769.24,1,OH
HWM,2011,71795.19,1,OH
HWM,2012,69260.84,1,OH
HWM,2013,71576.64,1,OH
HWM,2014,105021.61,2,CA
HWM,2015,104510.412,2,CA
HWM,2016,133016.85199999998,3,OH
HWM,2017,138043.884,3,OH
HWM,2018,145362.306,3,OH
HWM,2019,142704.96600000001,3,OH
HWM,2020,121121.35,3,OH
HWM,2021,111014.58600000001,3,OH
HWM,2022,116969.462,3,OH
HWM,2023,124137.59400000001,3,OH
IFF,2010,331910.854,6,DE
IFF,2011,349753.97,6,DE
IFF,2012,344528.442,6,DE
IFF,2013,369997.57,7,DE
IFF,2014,369447.154,7,DE
