facility_id,facility_name,total_emissions,naics_code,state,latitude,longitude,year,parent_company,ownership_pct,clean_parent,ticker
1014513,Viatris Pharmaceuticals LLC,26031.806,325412.0,PR,18.449856,-66.350353,2023,VIATRIS INC,100.0,VIATRIS,VTRS
1000552,Virginia City Hybrid Energy Center,724234.444,221112.0,VA,36.9161,-82.3381,2023,DOMINION ENERGY INC,100.0,DOMINION ENERGY,D
1004549,Vitro Flat Glass LLC,91730.116,327211.0,CA,36.699722,-119.716944,2023,PPG INDUSTRIES INC,100.0,PPG INDUSTRIES,PPG
1006868,W A Parish,10110960.572,221112.0,TX,29.4783,-95.6358,2023,NRG ENERGY INC,100.0,NRG ENERGY,NRG
1007705,W M W I - TIMBERLINE TRAIL RDF,17063.632,562212.0,WI,45.45344,-91.362534,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1000908,W S Lee,2338386.872,221112.0,SC,34.6022,-82.435,2023,DUKE ENERGY CORP,100.0,DUKE ENERGY,DUK
1006993,WABASH VALLEY LANDFILL,56105.248,562212.0,IN,40.822025,-85.800428,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1004351,WASATCH REGIONAL LANDFILL,82772.4,562212.0,UT,40.672532,-112.762883,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1007583,WASTE MANAGEMENT CHARLES CITY LANDFILL,33941.55,562212.0,VA,37.433333,-77.126976,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1007935,WASTE MANAGEMENT DISPOSAL SERVICE MOUNTAIN VIEW LANDFILL,17209.894,562212.0,PA,39.798235,-77.809553,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1007989,WASTE MANAGEMENT DISPOSAL SERVICES OF OREGON,260629.244,562212.0,OR,45.633552,-120.218925,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1007818,WASTE MANAGEMENT GREATER WENATCHEE LANDF,42821.25,562212.0,WA,47.4042,-120.1704,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1003800,WASTE MANAGEMENT INC Oyster Bay,1658.996,562212.0,CA,37.71447,-122.19347,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1007797,WASTE MANAGEMENT OF LA LLC - WOODSIDE SANITARY LANDFILL & RECYCLING CENTER,30148.134,562212.0,LA,30.497611,-90.828821,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1003299,WASTE MANAGEMENT OF LA LLC/RELIABLE LANDFILL,37441.0,562212.0,LA,30.576513,-91.530547,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1003259,WASTE MANAGEMENT OF MICHIGAN INC,119284.302,562212.0,MI,42.722701,-83.254729,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1003582,WASTE MANAGEMENT OF MICHIGAN INCORPORATED,199074.348,562212.0,MI,42.264144,-83.42661,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1007890,"WASTE MANAGEMENT OF MISSISSIPPI INC, PECAN GROVE LANDFILL AND RECYCLING CENTER A",21063.5,562212.0,MS,30.427,-89.266889,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1003399,"WASTE MANAGEMENT OF MISSISSIPPI INC, PLANTATION OAKS MUNICIPAL LANDFILL AND RECY",80381.0,562212.0,MS,31.356953,-91.395006,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
